u_true,u_pred,v_true,v_pred,date
-0.007695972,-0.049276024,-0.0058383234,-0.00692717,2023-03-29
-0.005811786,-0.0057173353,-0.008969788,-0.01037015,2023-05-31
0.009261704,0.010637738,0.0016718835,-0.0050337594,2023-05-17
0.022875613,0.015248081,-0.020062603,-0.0068630483,2023-06-27
0.02253062,0.01568145,-0.035773,-0.02298984,2023-08-23
0.027970877,0.009873159,-0.013454682,-0.012497708,2023-06-30
0.031235032,0.016185878,-0.03232308,-0.02414101,2023-08-16
-0.017143441,-0.011623019,-0.014383506,-0.007098615,2023-05-30
0.027599348,0.014955193,-0.045857377,-0.022382252,2023-07-03
0.034127656,0.013771456,-0.01568386,-0.009786768,2023-06-14
0.010217066,0.006257808,-0.016081927,-0.010361673,2023-08-30
0.0042725913,0.0004271213,-0.04715773,-0.016218755,2023-09-13
0.022981765,0.006876666,0.0056525585,0.009209939,2023-06-12
-0.008598259,-0.026079437,0.011305117,0.017133245,2023-05-17
0.04447741,0.021348165,-0.027838187,-0.01446614,2023-07-07
-0.016081927,-0.024403883,-0.009129015,-0.0054246318,2023-05-02
-0.027785113,-0.02904304,-0.00079613505,-0.002201384,2023-04-25
0.011172428,0.0011542067,-0.03959445,-0.02321808,2023-09-12
0.02388405,0.014619463,0.005732172,0.0070133014,2023-08-17
0.00042460536,-0.018714895,-0.012127791,-0.027649462,2023-03-10
0.02892624,0.01931052,-0.030783888,-0.00657811,2023-07-08
-0.017939577,-0.025682827,-0.009129015,-0.010256998,2023-05-08
-0.013932363,-0.0012892857,-0.027360506,-0.013132583,2023-09-30
-0.023963664,-0.022659564,-0.0038745238,-0.008578258,2023-03-29
-0.028050492,-0.0209701,0.0074305935,0.003075352,2023-04-17
0.022079479,0.008967664,-0.05044842,-0.020894308,2023-08-30
-0.025502859,-0.014640735,0.0151531035,0.015016472,2023-05-05
-0.0042460533,-0.010002328,0.02130988,0.0116518065,2023-05-16
0.010641672,0.011123482,-0.005227953,-0.0037209373,2023-03-08
-0.007669434,-0.009180175,-0.0073509803,-0.0113545805,2023-04-09
0.039010618,0.015343234,-0.07080294,-0.019132268,2023-09-17
-0.008571721,-0.009975335,-0.012977001,-0.0123803355,2023-04-14
-0.015975777,-0.003727926,-0.016320769,-0.004211206,2023-09-03
0.062045455,0.037480112,-0.020487208,-0.020915806,2023-08-10
0.012897387,0.01525699,-0.00023884051,0.0036649853,2023-03-13
0.03715297,0.013889327,-0.05084649,-0.021004915,2023-06-18
0.055941753,0.053301647,-0.04017828,-0.037692543,2023-07-04
-0.008014426,-0.0047918353,0.007297904,-0.00068186224,2023-09-20
0.014383506,0.00093820505,-0.040655963,-0.023603316,2023-09-24
0.02401674,0.015607343,-0.01703729,-0.008542534,2023-08-10
0.013613909,0.011930951,-0.021867175,-0.013197761,2023-07-21
0.0125789335,0.013742095,-0.04240746,-0.017764416,2023-05-30
-0.056180596,-0.030235345,-0.0070590638,-0.0023368075,2023-04-21
0.018815324,0.018281698,0.009288242,0.0069485623,2023-03-09
0.012817774,0.012021132,-0.042725913,-0.03915789,2023-09-17
-0.01618808,-0.017426675,-0.003688759,0.00094458647,2023-04-09
0.008810561,0.0047234446,-0.092908956,-0.031224284,2023-09-14
-0.0151265655,-0.008960677,-0.011225504,-0.005883895,2023-09-27
0.003343767,0.01109452,-0.017780349,-0.011688471,2023-09-01
0.012446244,0.0077866707,-0.029563148,-0.018632252,2023-06-17
0.054004494,0.016481062,-0.029112004,-0.013836145,2023-08-27
0.024255581,0.023806969,-0.013136228,-0.0037801042,2023-07-09
-0.020301443,-0.010350378,-0.013428144,-0.026277825,2023-06-12
0.018231492,0.016291238,-0.018417258,-0.020342167,2023-06-29
-0.013428144,-0.006999476,0.016824987,0.01038421,2023-06-04
0.029112004,0.020407137,-0.025900926,-0.012768403,2023-06-27
-0.03776334,-0.018812796,-0.01151742,-0.0041086804,2023-05-07
0.00015922701,-0.0048283134,0.0021230266,-0.0038362183,2023-09-24
-0.014887725,-0.012121515,0.012233942,0.015859967,2023-04-11
0.044822402,0.020733953,-0.029563148,-0.015810225,2023-07-10
-0.048723463,-0.04993979,0.0038214482,-0.002375193,2023-04-15
0.0027864727,0.010044318,0.0028395483,0.0024185423,2023-03-07
-0.029271232,-0.0407914,0.0055464073,0.0013317242,2023-04-22
-0.030890038,-0.028244888,0.0016453457,-0.0041215066,2023-05-05
0.010694747,0.01601259,-0.027440121,-0.019930478,2023-09-17
-0.012605472,-0.0067696925,0.027440121,0.007935081,2023-06-06
0.007802123,0.01365692,-0.0365426,-0.023251496,2023-09-29
0.042593226,0.019233108,-0.022477545,-0.01842583,2023-06-21
0.036117993,0.0051635746,-0.094342,-0.021233648,2023-09-18
-0.016241154,-0.029384078,-0.011490882,-0.009976886,2023-03-20
0.0029191617,0.0135436095,-0.035932228,-0.0229626,2023-09-30
0.025051715,0.0069740154,-0.042433996,-0.01005109,2023-07-09
0.041876704,0.019567315,-0.014436582,-0.016650822,2023-08-18
-0.013666985,-0.016416324,-0.0004511432,-0.0016280487,2023-04-01
0.034021504,0.019244505,-0.03136772,-0.01573351,2023-07-24
0.014171204,0.007799752,-0.034286883,-0.02624945,2023-08-23
0.027838187,0.015904445,-0.028873164,-0.01973074,2023-08-15
0.007802123,0.009554217,-0.047476187,-0.025581416,2023-08-24
0.047953866,0.022457425,-0.022079479,-0.013689559,2023-07-11
0.027138866,0.02057034,-0.034559388,-0.017915599,2023-07-02
0.07783547,0.031487826,-0.018709173,-0.009157887,2023-06-21
-0.007191753,-0.0103666615,0.011358193,0.012804321,2023-06-08
0.00026537833,-0.026597725,0.0073244423,0.011914368,2023-04-28
-0.043813966,-0.034197778,0.030730812,0.019319374,2023-05-16
0.03269461,0.014920006,-0.033782665,-0.022263773,2023-07-28
-0.010402831,-0.023311144,-0.007536745,-0.03294343,2023-03-05
0.05403103,0.04953262,-0.038267557,-0.037853174,2023-08-07
0.03808179,0.020996379,-0.03455226,-0.020240404,2023-07-07
0.009765923,0.003938075,-0.061196245,-0.01168257,2023-09-23
0.034631874,0.018790811,-0.028501634,-0.02167515,2023-08-02
0.011119353,0.01840126,-0.014410044,-0.025494125,2023-07-26
-0.015179642,-0.029021507,-0.004352205,-0.011017166,2023-04-28
-0.03394189,-0.030267434,-0.012127791,-0.013965078,2023-04-03
0.057162493,0.026951294,-0.058170933,-0.014651451,2023-07-06
-0.024892488,-0.016736718,-0.02391059,-0.017386358,2023-03-26
-0.022371395,-0.0010189824,0.026139766,0.011231657,2023-06-06
0.03173925,0.020211706,-0.025715161,-0.018964019,2023-07-22
-0.011942025,-0.0059705544,-0.013640447,-0.006104378,2023-05-11
0.014197742,0.014470825,-0.045140855,-0.01966472,2023-08-28
-0.01616154,0.0054718573,-0.013905825,-0.030984025,2023-09-30
0.007218291,0.0034317411,0.037099894,0.010242702,2023-06-07
0.03566685,0.015952123,-0.02696244,-0.016875561,2023-06-13
-0.016002314,-0.048115954,-0.0070590638,-0.0058092307,2023-04-02
0.0026803212,0.0046713594,-0.024706723,-0.0142173655,2023-09-20
-0.018549947,-0.046295762,-0.0050421883,-0.0037441049,2023-04-08
0.007934812,0.0049634855,0.005944475,0.0039157327,2023-06-12
0.03234962,0.014157957,-0.039408684,-0.019992582,2023-07-14
-0.028077029,-0.014806373,0.007404056,0.008165921,2023-05-31
0.04928076,0.01687061,-0.048484623,-0.012097985,2023-07-07
0.00894325,0.00838276,-0.030704275,-0.034432143,2023-09-27
-0.009394393,-0.013917381,-0.005785248,-0.004911339,2023-05-28
-0.045538925,-0.020800559,-0.02255716,-0.00837845,2023-05-03
0.037046816,0.017396508,-0.03847986,-0.026821375,2023-07-23
0.0022822537,0.011048738,-0.015046952,-0.011847891,2023-08-31
-0.0058383234,-0.00023880973,-0.046626974,-0.027151987,2023-09-23
0.007404056,0.014949461,0.020407595,0.015961818,2023-05-29
0.0064486936,0.0030187964,-0.00575871,-0.011145819,2023-05-20
-0.019399157,-0.039001733,-0.015657322,-0.023629662,2023-03-27
-0.018894939,-0.01697717,0.016878063,0.008563261,2023-05-29
0.011225504,0.018627334,-0.013507757,-0.025138132,2023-07-27
-0.029748913,-0.0229021,0.0022822537,0.0029058158,2023-05-24
-0.026750136,-0.04331194,0.00010615134,-0.0012018252,2023-04-14
0.052651063,0.028132226,-0.023140991,-0.013414606,2023-07-23
-0.0151531035,-0.0047230106,-0.033066142,-0.023236398,2023-09-26
0.0024680186,0.0002447795,0.005599483,0.009970777,2023-03-06
-0.01605539,-0.0168736,-0.009049402,-0.006542541,2023-04-25
-0.010694747,-0.010456001,-0.012685085,-0.013161954,2023-03-16
0.020407595,0.015488974,-0.047104657,-0.038823374,2023-09-13
